name,team,pos,player_id,proj_own,salary
Mickey Moniak,LAA,OF,10007006,6.68,3000
Connor Wong,BOS,C,10008463,6.97,3700
Willi Castro,MIN,OF,10002148,7.09,4000
Alex Verdugo,NYY,OF,10005910,7.81,4300
Luis Arraez,SD,1B,10005493,8.96,4700
Akil Baddoo,DET,OF,10007011,6.81,3200
Rafael Devers,BOS,3B,10005751,8.64,5900
Santiago Espinal,CIN,3B,10008834,6.61,3400
Kevin Newman,ARI,SS,10006512,6.02,2900
Aaron Judge,NYY,OF,10002087,10.4,6400
Jeimer Candelario,CIN,1B/3B,10005308,7.22,4800
Jarren Duran,BOS,OF,10009517,8.22,5000
Miguel Andujar,OAK,OF,10005476,7.48,3600
George Springer,TOR,OF,10000499,10.07,3800
Yordan Alvarez,HOU,OF,10007152,10.05,5100
Manny Machado,SD,3B,10000129,10.11,4800
Mitch Garver,SEA,C,10002089,6.52,3000
Lourdes Gurriel Jr.,ARI,OF,10007259,8,4000
DJ LeMahieu,NYY,1B/3B,10000397,6.33,3300
Mike Tauchman,CHC,OF,10006835,7.8,4000
Carlos Correa,MIN,SS,10001918,8.38,4100
Byron Buxton,MIN,OF,10001934,8.13,4400
Alex Kirilloff,MIN,1B/OF,10007040,7.85,3600
Fernando Tatis Jr.,SD,OF,10007217,12.29,5400
Giancarlo Stanton,NYY,OF,10000690,8.3,5000
Vladimir Guerrero Jr.,TOR,1B,10007501,11.75,4800
Bo Bichette,TOR,SS,10007013,8.42,4300
Martín Maldonado,CHW,C,10000719,5.52,2000
Jose Altuve,HOU,2B,10000485,9.18,5500
Luis Guillorme,LAA,2B/3B,10006033,5.62,2300
Gio Urshela,DET,1B/3B,10003219,6.59,3000
Max Kepler,MIN,OF,10000779,7.82,4500
Gleyber Torres,NYY,2B,10005406,7.93,4300
Abraham Toro,OAK,3B,10008490,7.45,3800
Marcus Semien,TEX,2B,10000908,8.78,5300
Bailey Ober,MIN,SP,10010317,8.36,8000
Ryan Jeffers,MIN,C,10009300,6.94,4600
Kyle Tucker,HOU,OF,10006868,10.18,6200
Corey Seager,TEX,SS,10001979,9.03,5700
Kevin Kiermaier,TOR,OF,10001225,6.11,2900
Trevor Richards,TOR,RP,10008547,10.71,5700
Michael Conforto,SF,OF,10005235,7.42,4800
Alex Bregman,HOU,3B,10005589,8.57,4100
Randal Grichuk,ARI,OF,10001181,6.53,3100
Brent Rooker,OAK,OF,10008431,7.79,4600
Danny Jansen,TOR,C,10007535,7.68,4700
Eugenio Suárez,ARI,3B,10000311,7.05,3700
Cody Bellinger,CHC,OF,10003122,9,5000
Patrick Sandoval,LAA,SP,10008769,15.07,7000
Ozzie Albies,ATL,2B,10005445,8.35,5200
Matt Olson,ATL,1B,10001961,8.96,5100
Nathaniel Lowe,TEX,1B,10008989,7.53,3900
Brendan Rodgers,COL,2B,10006637,7,3500
Jack Flaherty,DET,SP,10005822,23.65,9200
Ryan O'Hearn,BAL,1B,10006521,7.41,4200
Carlos Santana,MIN,1B,10000353,7.01,3700
Heliot Ramos,SF,OF,10008423,6.43,3200
Dylan Carlson,STL,OF,10007017,6.96,2200
Corbin Burnes,BAL,RP,10007058,16.33,10000
Mark Canha,DET,OF,10000900,7.53,4500
Dane Dunning,TEX,SP,10007025,15.38,7900
Dylan Moore,SEA,2B/3B,10007284,8,4200
Javier Báez,DET,SS,10000213,6.37,3100
Kris Bryant,COL,1B,10002076,7.49,4400
Ryan Mountcastle,BAL,1B,10006492,8.79,4900
